category,usable_name,merchant_id,business_url,merchant_summary,extracted_products,product_type,revenue_model,operational_model,sales_channel,customer_type
Accounting Services,RWB Chartered Accountants,acct_1GTt8qEPcxwiLvI4,http://rwbca.co.uk/,"RWB Chartered Accountants is an independent Nottingham-based, Xero Platinum partner and Champion accountancy practice offering financial, tax and accounting services to individuals and business clients throughout the UK.","[""Accounting Services"",""Business Coaching"",""Wealth Management"",""Corporate Finance"",""Forensic Accounting"",""Bookkeeping"",""Tax Services"",""Payroll"",""Secretarial"",""Budgeting""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Accounting Services,ACCOUNTS REPAIR LTD,acct_1HTmTjGeh75hF3Pm,https://accountsrepair.com/,"Accounts Repair offers professional accounting and bookkeeping solutions tailored for both businesses and individuals. They assist clients in setting up accounting systems, repairing accounts, reconciling balances, and ensuring compliance with tax obligations. Their team is experienced in providing essential financial reports and management insights, helping businesses maintain financial health and efficiency.","[""Accounting solutions"",""Bookkeeping services"",""Tax preparation"",""Financial reporting""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Accounting Services,QB Data Support,acct_1INjlwBfoD5xG8Uq,https://linkedin.com/company/qb-data-support,QB Data Support provides accounting and bookkeeping services compatible with US tax system and financial codes.,"[""Accounting and bookkeeping services""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Accounting Services,DAQA Accounting,acct_1MOsOJG7t5jOytvI,http://www.daqaccounting.com,"DAQA Accounting provides comprehensive accounting and immigration services, assisting clients with tax planning, compliance, and various immigration processes. They focus on meeting client needs and driving business outcomes.","[""Accounting Services"",""International Tax"",""Small Business Tax Planning"",""Offshore Tax Compliance"",""Tax Controversy"",""Tax Debt Resolution"",""Immigration Services"",""Citizenship"",""Green Card \u0026 Renewals"",""Work Permit"",""Family Petition""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Accounting Services,Noveli Tax,acct_1OkF2IAu6VAnhp0y,http://www.novelitax.com,"Noveli Consulting & Tax Services specializes in expert tax advice and retirement planning, providing high-quality technical services to help clients manage their financial needs efficiently. They focus on tax preparation, payroll management, tax planning, and business structuring among other services.","[""Tax preparation"",""Accounting"",""Payroll"",""Tax planning"",""Sales tax"",""Annual registration"",""Estimated Income Tax"",""Business structuring"",""Corporate tax""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Accounting Services,"RAS Professional Corporation, Chartered Professional Accountant",acct_1P8PGHFsMI6r2RGH,http://www.rasprofessionalcorp.ca,"RAS Professional Corporation is a full service accounting firm located in Edmonton, Alberta, dedicated to providing professional services for business and personal taxes, bookkeeping, payroll, and compilation of financial statements.","[""Bookkeeping"",""Payroll Services"",""Compilation of Financial Statements"",""Tax Preparation Services""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Accounting Services,oktopod acoustics lda,acct_1PLO1G038JWkSgpn,http://oktopod.co.il,null,"[""Acoustic consultation"",""Acoustic measurement"",""Acoustic room planning and construction"",""Noise testing before purchasing a property"",""Noise insulation and absorption"",""Acoustic windows"",""Acoustic doors"",""Acoustic curtains"",""Acoustic panels"",""Acoustic elements""]","[""Services""]",null,"[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Agriculture,Paturevision.fr,acct_18sBv2KbXN2nkgI1,https://paturevision.fr/fr/,"Paturevision is a French supplier of high-quality agricultural equipment, providing exceptional customer service and a superior shopping experience. They are passionate about agriculture and offer unique products.","[""High-quality agricultural equipment"",""Animal husbandry products"",""Clothing for men, women, and children"",""Minerals for livestock"",""Water troughs and related accessories"",""Fencing solutions"",""Animal care products""]","[""Physical"",""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Agriculture,"Pro-Agri Spraying Service, Inc.",acct_19yQB5HQ4mXM34H2,http://proagrispraying.com/,"Pro Agri Spraying, Inc. is dedicated to leading aerial application services and providing top-quality agricultural products.","[""Aerial application of herbicides, insecticides, fungicides, fertilizers"",""Direct chemical sales"",""Certified seeds""]","[""Services"",""Physical""]","[""One-Time""]","[""Direct""]","[""Physical"",""Online""]","[""B2B"",""B2C""]"
Agriculture,Gonzalo Llamazares SL,acct_1Cn2RlAqv69WwvMW,http://www.recagri.es,"Gonzalo Llamazares SL specializes in agricultural machinery spare parts, providing a wide variety of products such as blades, seats, tools, chemicals, and paints primarily for B2B and B2C customers.","[""Agricultural machinery spare parts"",""Blades"",""Seats"",""Tools"",""Chemicals"",""Paints""]","[""Physical""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Agriculture,AMBA Meish,acct_1HgxVgETTi00cpfB,http://www.meishanbreeders.com,"The American Meishan Breeders Association is dedicated to identifying, cataloging, preserving and promoting the genetics of pure Meishan Pigs. They offer memberships, resources for breeders, and sell Meishan pigs, supporting the Meishan mission.","[""Membership"",""Pigs For Sale""]","[""Services""]","[""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Agriculture,Pastured Poultry Equipment,acct_1JUihqQtKwuwX8jg,https://pasturedpoultryequipment.com/,null,"[""Extra Large Mobile Range Coop"",""Large Mobile Range Coop"",""Small Mobile Range Coop"",""ChickenGuard Pro with Self-Locking Door Kit"",""Rollout Nesting Boxes""]","[""Physical"",""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Agriculture,Haynes Agricultural Ltd,acct_1KGQmsFJbq5hDnjJ,https://haynes-agri.co.uk/,"Haynes Agricultural Ltd is part of a 230-year-old family-owned business operating from 6 depots located at Wrotham, Great Chart, Uckfield, Horsham, Newbury and Winchester - offering Sales, Parts and Service for customers across Kent, East Sussex, West Sussex, Surrey, Hampshire and Berkshire. They are the main dealers for manufacturers such as New Holland, JCB, Kuhn, Honda, Kawasaki, McConnel, Amazone, Claydon drills, and Stewart Trailers.","[""Tractors"",""Loaders"",""Handlers"",""Harvesters"",""ATVs"",""Parts and Service""]","[""Physical"",""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Agriculture,John Cornthwaite (Farm Machinery) Limited,acct_1KPRuDEhWkSCBEPY,http://www.cornthwaites.co.uk,"Cornthwaite Farm Machinery is a trusted farm machinery dealer established in 1978, based in Nateby, Lancashire. They supply new and used equipment, parts, and services to customers across a wide area, offering expert advice and ongoing support.","[""New Machinery"",""Used Machinery"",""Groundcare Parts"",""Forestry Parts"",""Machinery Servicing""]","[""Physical"",""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Agriculture,vansite.eu,acct_1KTXRk2eOR6ECQyh,https://vansite.eu/u/620c05b3-33d2-4b50-be81-66ed0e4dbdab,"Ochi's Bio Bauernhof offers organic farming services and operates merino breeding and marketing on their farm, which has been run according to certified organic guidelines for over 25 years. Customers can book their services online.","[""Merino breeding and marketing"",""Organic farming services""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Agriculture,www.wisconsinshowpigassociation.com,acct_1LCZB5B3TPTpk5uh,http://www.wisconsinshowpigassociation.com,"Wisconsin Show Pig Association is dedicated to providing opportunities for youth and show pig producers to grow, learn and share in their passion for showpigs and the swine industry.","[""Showpig opportunities""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Agriculture,AgrihomeSG,acct_1MtGbIQ1NCZ7y8bx,https://agrihomesg.com/,"Agrihome offers innovative solutions for growing fresh, chemical-free produce in urban settings, promoting sustainability and healthy living through space-efficient indoor farms and workshops.","[""Farm Wall"",""Farm Service Subscription"",""Hydroponics Workshop"",""Farm-to-table Workshops"",""Seedlings"",""Accessories""]","[""Physical"",""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2C""]"
Analytics & Data Services,DataGolf,acct_1F9oI7KL3vIXNOnX,http://datagolf.org/,"DATA GOLF specializes in statistics and data visualization applied to golf, providing various analytical tools and models for golf enthusiasts, professionals, and organizations.","[""Golf statistical analysis"",""Data visualization tools"",""Predictive modeling for golf performance""]","[""Digital"",""Services""]","[""Subscription"",""One-Time""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Analytics & Data Services,HOST SERVER SRL,acct_1J60lwFsFAZlEbs1,https://statalog.com/,null,"[""Web analytics platform"",""Privacy-first analytics"",""Heatmaps"",""Funnels"",""Goal \u0026 revenue tracking"",""Session behaviour monitoring""]","[""Digital"",""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Analytics & Data Services,Cherifi Elhadi,acct_1LAdC7DCtjYy79sA,http://elhadicherifi.com,"Elhadi Cherifi is a data engineer focusing on crypto analytics and open data stories, providing insights and analysis on various datasets.","[""On-chain intelligence"",""Open datasets"",""Data storytelling"",""DeFi analytics""]","[""Digital"",""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Analytics & Data Services,Impossibletree,acct_1Mve4ALGYxuD6dGv,http://www.impossibletree.com,ImpossibleTree is a cloud-based retail market intelligence solution that aggregates and transforms raw E-commerce data into structured market information with machine learning algorithms.,"[""Python Programming Course"",""Data Science with Python"",""Ecommerce Market Analysis"",""Web3.0 Introduction"",""Market Intelligence Solution"",""Price Monitoring Services""]","[""Services"",""Digital""]","[""Subscription"",""One-Time""]","[""Direct""]","[""Online""]","[""B2B""]"
Analytics & Data Services,TrackerBet – Analytics,acct_1NfK38FhewsI2ClM,http://trackerbet.net,"TrackerBet provides analytics and record-keeping services for users to track their betting history and performance metrics, helping them make informed decisions based on data, not guesswork.","[""Bet tracking analytics"",""Performance visualizations"",""Bankroll management tools""]","[""Services""]","[""Subscription""]","[""Direct""]","[""Online""]","[""B2C""]"
Analytics & Data Services,www.buymeacoffee.com,acct_1PsOvUR1RTwSvSrL,https://buymeacoffee.com/DataDynamix,"DataDynamix specializes in creating dynamic graphs that visualize global data and various analytics, aiming to make complex data sets more understandable and accessible to people.","[""Dynamic graphs visualization"",""Data visualization services""]","[""Digital"",""Services""]","[""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Analytics & Data Services,Alexander Thiele | Digitalberater,acct_1QaInNEb5sa7lfpv,http://jackpotmetrics.com,"Jackpotmetrics.com provides digital tools for Eurojackpot analysis, including systems and probability predictions. Customers can purchase access to these resources online for a one-time fee.","[""Eurojackpot analysis tools"",""Eurojackpot system"",""Generator"",""Probabilities predictions""]","[""Digital"",""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Analytics & Data Services,ADD.Inter,acct_1RFCBhDfwuHHrtew,https://analythra.vercel.app/,"Analythra is a powerful analytics platform designed for modern businesses. It offers real-time analytics, custom dashboards, bank-level security, and flexible billing options, allowing users to track, analyze, and grow their business with intelligent insights.","[""Analytics Platform"",""Custom Dashboards"",""API Access""]","[""Digital"",""Services""]","[""Subscription"",""Usage-Based Billing""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Analytics & Data Services,Gnsyx,acct_1RJa2CJnRqdnIFdH,http://gnsyx.com,"Gnsyx is a business that measures how brands rank across AI answers, providing analytics and tracking services for AI visibility. The service includes tools connected to various AI models to track responses and generate reports.","[""Gnsyx Basic"",""Gnsyx Pro""]","[""Digital"",""Services""]","[""Subscription""]","[""SaaS Platform""]","[""Online""]","[""B2B"",""B2C""]"
Analytics & Data Services,Karacan LLC,acct_1Rj5buKNHfNp5Yn4,https://karacan-analytics.com/,null,"[""analytics sprint"",""measurement architecture"",""revenue reporting"",""operator playbooks"",""GA4 / ad platform audit""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B""]"
Architectural Services,RencontreUnArchi,acct_16z0vaHb0zISegui,http://rencontreunarchi.com,null,"[""Architectural services"",""Renovation services"",""Construction services"",""Decorating services""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Architectural Services,Robin Reigi Inc,acct_1BG7vUCiVbgwNg9C,http://robinreigi.com,"Robin Reigi Inc. is an architectural materials representative specializing in sourcing architectural solutions for walls, ceilings, and surfaces. They offer a range of high-quality materials including prefinished wood panels, acoustical panels, and custom flooring, while also focusing on sustainability in architectural materials.","[""Architectural materials"",""Acoustical panels"",""Custom flooring"",""Prefinished wood panels"",""Sustainable finishes""]","[""Physical"",""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online"",""Physical""]","[""B2B""]"
Architectural Services,BILT Fab,acct_1C8uZqBeEzJACgH6,http://biltfab.com/,"Elite Architectural Metalworks, known as Biltfab, offers custom architectural metalworks. They provide services and products that cater to businesses and individual consumers, available both online and in-person. Customers can shop for various metalwork products and apparel, with the option for one-time purchases or subscription-based services.","[""Apparel""]","[""Physical"",""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Architectural Services,Adv Planning Ltd.,acct_1F7RCuBjttdgYlkC,http://www.advancearchitecture.co.uk,"Advance Architecture is an architectural design firm founded in 2009, offering a range of services including architectural designs, planning applications, construction supervision, and interior design. They provide free initial consultations and work closely with clients to meet their specific needs and goals.","[""Architectural Designs"",""Planning Applications"",""Construction supervision"",""Interior design""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Architectural Services,Ceciliahom,acct_1HpNKuLstBNNzTV8,http://cecilia123.com,"Cecilia Home provides architectural and structural engineering services specializing in ADUs, home additions, and remodeling projects across California. They assist homeowners with design, permit acquisition, and construction support to ensure compliance with local regulations.","[""ADU Design"",""Home Addition"",""Remodeling Services"",""Wall Removal"",""Building Permit Service"",""Foundation Inspection"",""Seismic Retrofit""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2C""]"
Architectural Services,Éther Architecture,acct_1INng9LbJO4SKZxY,http://etherarchitecture.com,"Éther excels in creating sustainable architectural projects that harmonize aesthetics, well-being, and environmental responsibility. They focus on personalized designs for both residential and commercial spaces, emphasizing human-centric living and working environments.","[""Architectural design services""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Architectural Services,ARCH,acct_1IZFX8AtqUlldp7D,http://www.meadows.eco,"Meadows Architecture provides full architectural services, emphasizing high-quality and energy-efficient design solutions. They serve homeowners and developers in the Triangle area.","[""Architectural services""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Architectural Services,Shared Space Architecture Pty Ltd,acct_1KcSmqLJASJVz2Ne,https://sharedspacearchitecture.com.au/,"Shared Space Architecture is an innovative architectural firm focused on creating unique and personalized architectural designs. They operate under two business names: Building Physics Australia, specializing in energy efficiency, and Guided Architecture, which helps clients design their homes. Their approach emphasizes individual client needs and preferences, ensuring each project is distinct.","[""Architectural Services"",""Energy Efficiency Consulting""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Architectural Services,Archibrix,acct_1KlRpLDxzpqVyd3d,https://archibrix.com/,"Archibrix is an online marketplace specializing in architectural living concepts and ideas, providing a platform for architects to offer their designs based on building information modeling (BIM).","[""Architectural designs"",""Building information modeling (BIM) services""]","[""Digital"",""Services""]","[""One-Time""]","[""Marketplace""]","[""Online""]","[""B2B"",""B2C""]"
Architectural Services,MY Drafting Centre PTY LTD,acct_1Na9Z4S05OXtgcPp,http://www.mydraftingcentre.com.au,MY Drafting Centre provides bespoke building design and drafting services focused on creating custom homes and renovations for clients throughout Australia.,"[""Building design services"",""Drafting services"",""Home renovation"",""Extensions"",""Office fitouts"",""Shop fitouts""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Automation Services,GECommerce,acct_1PR2HJS2ZnBdzipq,https://gecommerce.ca/,"GECommerce specializes in the distribution, import, automation, and integration of electrical and industrial solutions, focusing on enhancing manufacturing and production processes.","[""Electrical solutions"",""Industrial automation equipment"",""Sensors"",""Actuators"",""Robotics"",""Programmable logic controllers (PLCs)""]","[""Physical"",""Digital""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B""]"
Automation Services,DANIEL DONOVAN,acct_1SRPLEBpr0WxWx16,https://alpineadvisory.ai/,"Alpine Advisory provides AI and automation systems for service businesses, helping them streamline operations and reduce manual busywork. They conduct operations audits and build custom workflows for their clients to enhance efficiency and save time.","[""AI automation systems"",""Operations audit"",""Custom workflows""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B""]"
Automation Services,Vector Automation Systems,acct_1SgHrw8KPnSJgBcV,http://www.vectorautomationsystems.com,"Vector Automation Systems provides AI automation solutions designed to enhance lead response, customer communication, appointment scheduling, and follow-up for businesses.","[""AI automation systems"",""lead capture automation"",""appointment booking automation"",""AI chatbot for business"",""AI voice agent"",""CRM automation"",""follow-up automation""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B""]"
Automation Services,callumsmit,acct_1T1ZRNQVfNrvtVhs,http://callumsmith.co,null,"[""bespoke automation systems""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B""]"
Automation Services,Kroll Consulting,acct_1TPjkKEcQ2v4h1dJ,https://krollconsulting.tech/,"Kroll Consulting helps small businesses in Northwest Arkansas and beyond save time and grow with custom AI systems, automation, and smart workflows.","[""AI Chatbots \u0026 Automation"",""Workflow \u0026 Process Automation"",""CRM Setup \u0026 Integration"",""Lead Generation Systems"",""Custom AI Tools""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Automation Services,REMB STRIP,acct_1TQ0OAH40eRs5eMg,http://www.techdrive.fr,"TECH DRIVE specializes in industrial automation solutions, offering expertise in the design and integration of custom systems, testing benches, and special machines for various sectors.","[""Custom industrial automation solutions"",""Testing benches"",""Special machines"",""Retrofit and electrical installation services"",""Industrial cooling solutions""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online"",""Physical""]","[""B2B""]"
Automotive Services,Cullen Car Dismantling,acct_102oQj2oxTyfbVXz,http://cullencarparts.ie/,null,"[""Car parts"",""Accessories"",""Brakes"",""Electrical components"",""Body parts"",""Fuel System components"",""Wheels""]","[""Physical"",""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Automotive Services,Willyscarbs,acct_102tkz2BMapvsxjp,http://willyscarbs.com/,null,"[""4 Barrel Carburetors"",""2 Barrel Carburetors"",""Fuel Pumps"",""Regulators"",""Carburetor Parts \u0026 Accessories"",""Rebuild Kits"",""Performance Enhancing Parts"",""MRE/WCD Apparel"",""Chassis Dyno Sessions""]","[""Physical"",""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Automotive Services,turbo-performance-products.myshopify,acct_1030ad2ZRXtAwJ31,https://turbo-performance-products.myshopify.com/,"Manufacturer of heat controlling blankets for turbos, manifolds or any other heat producing parts!","[""heat controlling blankets for turbos"",""heat controlling blankets for manifolds""]","[""Physical""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
Automotive Services,Diamond MATS,acct_14i9teFtJtUZ9tW3,https://diamondmats.com/,Made in the USA since 1999 offers custom-shaped metal floor mats crafted from diamond plate aluminum.,"[""Custom-shaped metal floor mats""]","[""Physical"",""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2C""]"
Automotive Services,Spiffy Auto Detailing,acct_14lvNNAq5bwdUQCA,http://spiffyauto.com/,null,"[""Auto Detailing"",""Ceramic Coating"",""Polishing"",""Window Tinting"",""Vehicle Wrapping"",""Paint Protection Film (PPF)"",""Powder Coating"",""Custom Upholstery"",""Auto Body Repair""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Physical""]","[""B2C""]"
Automotive Services,Shift Koncepts,acct_15A5BQBtO3JEYyLS,https://shiftkoncepts.com/,"Shift Koncepts specializes in automotive aftermarket products, particularly paddle shifters that are made from high-grade materials like carbon fiber, Kevlar, and fiberglass. Their offerings include custom paddle shifters for various car models and a focus on precision and design.","[""Paddle Shifter Extensions"",""Gauge Pods""]","[""Physical""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Automotive Services,Autopart3,acct_19OwWuHlVdWXCF42,https://autopart3.com/,null,"[""Used auto parts"",""Engine parts"",""Transmission parts""]","[""Physical""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Automotive Services,Arthur KAR Productions,acct_19ckVrCsOV5EVcpc,http://lartdelautomobileshop.com/,"KAR / L'ART DE L'AUTOMOBILE is an online store that sells automotive products and ships them worldwide. The business primarily caters to individual consumers (B2C) and offers physical products through its online sales channel, operating on a one-time revenue model through direct sales.",null,"[""Physical""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2C""]"
Automotive Services,chase detailing,acct_19it3mLAGqWcnHEu,http://chasedetailing.com/,Chase Detailing is a mobile auto detailing service that provides comprehensive car cleaning solutions in Oklahoma City and surrounding areas.,"[""Car detailing services""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2C""]"
Automotive Services,www.wheeliz.com,acct_1ARHEkAawaSvEwGz,https://wheeliz.com/fr/s/ille-et-vilaine/ille-et-vilaine-voiture-adaptee-147975,"Wheeliz is a platform that connects individual car owners with people needing adapted vehicles for rental purposes, specifically aimed at those who use wheelchairs.","[""rental cars for people with disabilities""]","[""Services""]","[""One-Time""]","[""Marketplace""]","[""Online""]","[""B2C""]"
Aviation Services,EODRONE,acct_1EYCprIphJEibVwF,https://eodrone.fr/,EOdrone is a professional drone operator specializing in aerial photography and videography for professionals in various sectors. They provide tailored drone services throughout the Auvergne-Rhône-Alpes region.,"[""Aerial photography"",""Aerial video"",""Ground photography"",""Thermographic studies"",""Technical inspection by drone"",""Audiovisual production"",""Drone training"",""3D/2D modeling"",""Event videos""]","[""Services""]","[""One-Time"",""Usage-Based Billing""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
